ID	LineA_1	LineA_2	LineA_3	LineA_4	LineA_5	LineB_1	LineB_2	LineB_3	LineB_4	LineB_5	LineB_6	LineB_7	LineB_8	LineB_9	LineB_10
ENSG00000000003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000971	0	0	0	0	0	0	0	0	1	0	0	0	60	0	0
ENSG00000001036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000001084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000001167	64	93	16	152	112	11	7	48	21	54	0	1	0	7	73
ENSG00000001460	0	1	1	21	0	0	0	0	0	0	0	0	0	0	0
ENSG00000001461	49	74	67	19	246	175	101	171	55	119	1	157	35	65	107
ENSG00000001497	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0
ENSG00000001561	0	0	0	0	4	0	0	5	0	0	0	0	0	0	0
ENSG00000001617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000001626	0	0	1	0	0	0	6	0	0	3	0	0	0	0	0
ENSG00000001629	33	0	2	0	0	11	0	0	0	0	0	0	15	7	0
ENSG00000001630	0	0	0	0	0	0	0	2	0	0	11	0	0	0	0
ENSG00000001631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002016	44	40	0	78	19	32	2	61	144	5	4	0	161	53	122
ENSG00000002079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002726	0	0	0	0	0	13	2	1	0	0	9	1	15	1	0
ENSG00000002745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002822	13	1	39	24	1	0	0	0	0	1	0	10	0	8	0
ENSG00000002834	0	0	0	0	0	0	0	0	0	0	49	0	2	0	1
ENSG00000002919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000003056	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000003096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000003137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000003147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000003249	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000003393	30	16	22	7	8	3	1	7	12	2	1	0	0	4	0
ENSG00000003400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
